city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Prince Albert,53.2,-105.77,271.13,96,98,2.35,CA,1604033844
Aklavik,68.22,-135.01,259.13,92,13,3.29,CA,1604033883
Sar-e Pul,35.83,66.17,285.4,25,0,0.96,AF,1604034130
Srīsailain,16.08,78.87,300.32,60,81,3.02,IN,1604034130
Lebu,-37.62,-73.65,283.84,83,12,6.64,CL,1604034130
Chicama,-7.84,-79.15,290.24,84,100,2.66,PE,1604034130
Jardim,-21.48,-56.14,292.1,89,49,2.03,BR,1604034062
Faya,18.39,42.45,286.15,40,0,0.97,SA,1604034131
Laguna,38.42,-121.42,287.04,58,1,1.13,US,1604034131
Neuquén,-38.95,-68.06,287.33,34,0,4.85,AR,1604034131
Yellowknife,62.46,-114.35,262.04,94,100,0.78,CA,1604034122
Nyurba,63.28,118.33,257.32,87,100,3.01,RU,1604034132
Marfino,55.7,37.38,277.04,71,75,3.0,RU,1604034132
Chara,56.91,118.26,268.18,91,10,0.55,RU,1604034132
Caarapó,-22.63,-54.82,288.84,96,9,3.01,BR,1604034132
San Rafael,-34.62,-68.33,285.5,41,0,1.83,AR,1604034133
Beihai,21.48,109.1,296.24,79,97,5.25,CN,1604034133
Kuching,1.55,110.33,302.15,83,40,1.0,MY,1604034133
Senanga,-16.12,23.27,298.11,39,21,4.01,ZM,1604034133
Havøysund,71.0,24.66,274.15,86,75,5.7,NO,1604034134
Avera,33.19,-82.53,289.15,44,1,6.2,US,1604034134
Vila Franca do Campo,37.72,-25.43,292.15,100,75,6.2,PT,1604034134
Hithadhoo,-0.6,73.08,301.66,76,81,5.6,MV,1604034084
Akdepe,42.06,59.38,277.15,60,0,7.2,TM,1604034134
Jasper,37.2,-94.35,277.04,81,1,1.5,US,1604034135
Gariāband,20.64,82.06,300.63,42,30,2.41,IN,1604034135
Rocha,-34.48,-54.33,284.43,75,93,2.88,UY,1604034135
Griffith,41.53,-87.42,277.59,55,90,5.7,US,1604034128
Rawson,-43.3,-65.1,284.07,58,79,3.16,AR,1604034135
Kłobuck,50.9,18.94,278.71,93,0,3.6,PL,1604034136
Sabang,5.89,95.32,301.3,72,82,4.13,ID,1604034136
Binga,-17.62,27.34,299.69,44,1,2.35,ZW,1604034136
Mossamedes,-15.2,12.15,293.57,75,6,2.15,AO,1604034136
Saskylakh,71.92,114.08,255.59,85,18,2.99,RU,1604034136
Blagoyevo,63.37,47.92,279.27,95,100,3.98,RU,1604034137
Cândido de Abreu,-24.57,-51.33,290.06,92,100,2.43,BR,1604034137
Iqaluit,63.75,-68.51,257.78,91,31,4.29,CA,1604034012
Hunchun,42.87,130.36,284.1,41,0,3.15,CN,1604034137
Coquimbo,-29.95,-71.34,285.15,87,0,1.0,CL,1604033904
Esim,4.87,-2.24,298.18,89,13,2.54,GH,1604034138
Marabu,4.41,114.01,305.15,70,40,6.7,MY,1604034138
Nara,34.69,135.8,291.15,48,75,4.6,JP,1604034058
Lavrentiya,65.58,-171.0,268.72,87,4,1.83,RU,1604034138
Lahad Datu,5.03,118.33,305.01,61,87,1.65,MY,1604034139
Springbok,-29.66,17.89,280.01,66,34,2.6,ZA,1604034139
Souillac,-20.52,57.52,297.04,52,11,4.92,MU,1604034139
Quelimane,-17.88,36.89,294.15,94,0,1.76,MZ,1604034139
Uruçuí,-7.23,-44.56,299.94,64,82,0.71,BR,1604034139
Longyearbyen,78.22,15.64,266.15,62,20,8.2,SJ,1604034140
Huanan,46.22,130.52,280.15,55,19,2.67,CN,1604034140
Kandrian,-6.22,149.55,301.43,77,100,4.57,PG,1604034140
Wuwei,37.93,102.64,284.45,41,14,7.17,CN,1604034140
Mirny,62.54,113.96,259.72,87,100,3.59,RU,1604034140
Bundaberg,-24.85,152.35,303.15,42,0,7.7,AU,1604034141
Ahipara,-35.17,173.17,291.25,75,100,4.52,NZ,1604034141
Rosarito,32.33,-117.03,293.15,77,5,1.5,MX,1604033911
Mukhen,48.1,136.1,277.03,86,97,1.61,RU,1604034141
San Quintín,30.48,-115.95,282.59,23,0,1.79,MX,1604034142
Bartica,6.4,-58.62,298.15,100,20,1.0,GY,1604034142
College,64.86,-147.8,264.15,78,90,2.1,US,1604034142
Road Town,18.42,-64.62,301.48,85,100,9.83,VG,1604034025
Zhigansk,66.77,123.37,251.55,90,99,1.69,RU,1604034142
